Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
Petronas Education Sponsorship Programme ,UG,20,Other,"RM27,125",Engineering,12,N/A,4,N/A,N/A,N/A,46,Eligible,Accepted
MARA Scholarship,UG,44,Bumiputera Sabah / Sarawak,"RM169,974",Computer Science and IT,5,3.83,N/A,N/A,N/A,N/A,66,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Other,"RM81,231",Sciences,10,N/A,N/A,N/A,N/A,3.84,57,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Malay,"RM119,362",Computer Science and IT,12,N/A,N/A,N/A,N/A,2.49,72,Not Eligible,Rejected
MARA Scholarship,UG,27,Bumiputera Sabah / Sarawak,"RM26,906",Sciences,7,N/A,N/A,3.01,N/A,N/A,81,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Bumiputera Sabah / Sarawak,"RM47,761",Sciences,9,N/A,2,N/A,N/A,N/A,76,Not Eligible,Rejected
JPA Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM51,518",Computer Science and IT,10,N/A,4,N/A,N/A,N/A,62,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,25,Chinese,"RM60,919",Engineering,6,N/A,N/A,N/A,N/A,3.04,67,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,38,Malay,"RM41,091",Law and Social Sciences,7,N/A,N/A,N/A,N/A,3.89,41,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Bumiputera Sabah / Sarawak,"RM170,629",Computer Science and IT,11,N/A,5,N/A,N/A,N/A,83,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Bumiputera Sabah / Sarawak,"RM105,396",Computer Science and IT,5,N/A,3,N/A,N/A,N/A,55,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Indian,"RM57,308",Engineering,0,N/A,N/A,3.48,N/A,N/A,65,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM99,733",Engineering,11,N/A,N/A,3.63,N/A,N/A,91,Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM40,365",Engineering,11,2.28,N/A,N/A,N/A,N/A,58,Not Eligible,Rejected
MARA Scholarship,PG,37,Malay,"RM166,855",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.94,54,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM14,440",Engineering,6,N/A,4,N/A,N/A,N/A,44,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM71,134",Sciences,8,N/A,N/A,3.87,N/A,N/A,76,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,20,Malay,"RM14,102",Business and Finance,8,N/A,3,N/A,N/A,N/A,51,Not Eligible,Rejected
MARA Scholarship,UG,19,Malay,"RM120,378",Sciences,5,N/A,N/A,3.78,N/A,N/A,63,Eligible,Accepted
MARA Scholarship,UG,39,Malay,"RM150,090",Law and Social Sciences,10,N/A,N/A,2.11,N/A,N/A,50,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM17,788",Business and Finance,10,N/A,N/A,3.11,N/A,N/A,69,Eligible,Accepted
Shell Malaysia Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM53,717",Sciences,11,N/A,N/A,3.85,N/A,N/A,93,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Indian,"RM97,051",Business and Finance,10,N/A,5,N/A,N/A,N/A,52,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,22,Indian,"RM18,527",Computer Science and IT,2,N/A,N/A,N/A,3.99,N/A,62,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM94,786",Law and Social Sciences,6,N/A,N/A,3.86,N/A,N/A,54,Eligible,Rejected
MARA Scholarship,UG,29,Bumiputera Sabah / Sarawak,"RM187,877",Computer Science and IT,12,N/A,N/A,2.68,N/A,N/A,55,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,27,Indian,"RM35,692",Engineering,11,N/A,N/A,N/A,N/A,3.84,68,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM34,760",Law and Social Sciences,3,N/A,N/A,3.6,N/A,N/A,39,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Bumiputera Sabah / Sarawak,"RM20,550",Computer Science and IT,7,N/A,N/A,N/A,N/A,3.95,51,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,19,Chinese,"RM25,515",Computer Science and IT,8,N/A,N/A,3.64,N/A,N/A,60,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM16,119",Business and Finance,7,N/A,N/A,N/A,3.42,N/A,35,Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Other,"RM33,067",Engineering,10,N/A,N/A,3.15,N/A,N/A,54,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Indian,"RM29,571",Law and Social Sciences,11,3.58,N/A,N/A,N/A,N/A,91,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,26,Other,"RM34,425",Computer Science and IT,5,N/A,N/A,N/A,N/A,2.56,82,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,26,Indian,"RM68,456",Engineering,7,N/A,N/A,N/A,N/A,3.61,56,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,21,Indian,"RM1,612",Sciences,11,N/A,N/A,3.92,N/A,N/A,68,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Other,"RM43,627",Law and Social Sciences,8,N/A,5,N/A,N/A,N/A,43,Eligible,Accepted
JPA Scholarship,PG,28,Indian,"RM114,157",Business and Finance,9,N/A,N/A,N/A,N/A,2.66,80,Not Eligible,Rejected
MARA Scholarship,PG,39,Malay,"RM44,709",Engineering,8,N/A,N/A,N/A,N/A,3.42,37,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,28,Malay,"RM67,917",Computer Science and IT,8,N/A,N/A,N/A,N/A,3.02,62,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,32,Chinese,"RM109,354",Medicine and Health Care,11,N/A,N/A,N/A,N/A,3.59,59,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,18,Malay,"RM33,678",Sciences,6,N/A,N/A,N/A,2.09,N/A,61,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM50,164",Business and Finance,9,N/A,4,N/A,N/A,N/A,59,Eligible,Rejected
