Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM28,605",Sciences,7,N/A,N/A,2.85,N/A,2.58,53,Not Eligible,Rejected
MARA Scholarship,UG,21,Malay,"RM32,242",Business and Finance,7,N/A,3.0,N/A,N/A,N/A,30,Eligible,Rejected
JPA Scholarship,PG,26,Malay,"RM86,281",Computer Science and IT,7,N/A,N/A,N/A,3.47,3.94,31,Eligible,Accepted
MARA Scholarship,UG,40,Malay,"RM119,765",Computer Science and IT,8,N/A,2.0,N/A,N/A,N/A,31,Eligible,Rejected
MARA Scholarship,UG,21,Malay,"RM13,371",Sciences,5,N/A,2.0,N/A,N/A,N/A,31,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM22,531",Law and Social Sciences,10,3.92,N/A,N/A,N/A,3.82,33,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Bumiputera Sabah / Sarawak,"RM57,937",Computer Science and IT,5,N/A,N/A,N/A,2.84,N/A,51,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,30,Indian,"RM83,712",Business and Finance,8,N/A,N/A,3.37,N/A,3.42,44,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM30,859",Sciences,6,N/A,N/A,2.84,N/A,N/A,42,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM68,338",Business and Finance,10,N/A,N/A,3.72,N/A,N/A,41,Not Eligible,Rejected
MARA Scholarship,PG,32,Chinese,"RM36,836",Engineering,9,N/A,N/A,2.93,N/A,2.05,48,Not Eligible,Rejected
JPA Scholarship,PG,27,Malay,"RM56,310",Sciences,4,N/A,2.0,N/A,N/A,2.27,43,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Bumiputera Sabah / Sarawak,"RM36,079",Law and Social Sciences,3,N/A,N/A,1.69,N/A,N/A,35,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Indian,"RM23,501",Computer Science and IT,10,3.79,N/A,N/A,N/A,4.0,31,Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Malay,"RM28,417",Engineering,9,N/A,N/A,N/A,3.33,N/A,32,Eligible,Rejected
MARA Scholarship,PG,27,Malay,"RM81,908",Business and Finance,5,N/A,N/A,N/A,2.1,2.0,38,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Chinese,"RM28,188",Business and Finance,7,3.02,N/A,N/A,N/A,N/A,78,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM69,371",Sciences,8,N/A,N/A,N/A,3.46,N/A,33,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM59,304",Business and Finance,7,3.18,N/A,N/A,N/A,N/A,79,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM33,577",Engineering,5,2.1,N/A,N/A,N/A,N/A,38,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,40,Chinese,"RM21,997",Law and Social Sciences,10,N/A,N/A,3.71,N/A,3.68,35,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,18,Chinese,"RM58,539",Computer Science and IT,6,3.25,N/A,N/A,N/A,N/A,77,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Malay,"RM29,914",Computer Science and IT,11,N/A,3.0,N/A,N/A,3.72,33,Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Chinese,"RM22,938",Computer Science and IT,9,N/A,N/A,N/A,3.96,N/A,36,Eligible,Accepted
MARA Scholarship,PG,43,Chinese,"RM75,069",Computer Science and IT,6,N/A,N/A,N/A,2.6,2.47,47,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Malay,"RM97,714",Sciences,8,3.09,N/A,N/A,N/A,3.1,84,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Chinese,"RM82,869",Law and Social Sciences,6,N/A,N/A,N/A,2.92,N/A,58,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Malay,"RM20,514",Business and Finance,8,N/A,N/A,N/A,3.57,3.54,33,Eligible,Rejected
JPA Scholarship,PG,29,Chinese,"RM50,470",Medicine and Health Care,7,3.34,N/A,N/A,N/A,2.76,51,Not Eligible,Rejected
